wav_filename,wav_filesize,transcript
/media/shamim/New Volume/content/nl/MP3/wav/49d9743884.wav,115244,একটি গমের এক শীষের সঙ্গে
/media/shamim/New Volume/content/nl/MP3/wav/4d1f257d73.wav,92844,সহকারী রিটার্নিং অফিসার
/media/shamim/New Volume/content/nl/MP3/wav/4efa92d656.wav,99244,এ ধরনের চুক্তি
/media/shamim/New Volume/content/nl/MP3/wav/4b716dff7c.wav,128044,প্রয়োজনীয় অবকাঠামোও
/media/shamim/New Volume/content/nl/MP3/wav/45cf2c2735.wav,243244,শাহাবুদ্দিনের দেয়া জবানবন্দি থেকে
/media/shamim/New Volume/content/nl/MP3/wav/4ec4b35371.wav,134444,পুনর্বাসন প্রক্রিয়ার তৃতীয় ধাপ শুরু করবেন
/media/shamim/New Volume/content/nl/MP3/wav/47e82e1c07.wav,105644,মিলি সাধারণত ব্যবহার করেন
/media/shamim/New Volume/content/nl/MP3/wav/42929a0dfa.wav,83244,হয়ে পড়ে
/media/shamim/New Volume/content/nl/MP3/wav/4e43a11154.wav,70444,একজন অন্তত
/media/shamim/New Volume/content/nl/MP3/wav/4d5b86b1bf.wav,121644,বিচারে প্রবৃত্ত হই
/media/shamim/New Volume/content/nl/MP3/wav/4b6f3c3970.wav,83244,তখন পর্যন্ত আমি
/media/shamim/New Volume/content/nl/MP3/wav/45031ae085.wav,16877,কিছুটা ভিন্ন
/media/shamim/New Volume/content/nl/MP3/wav/4f8054f399.wav,86444,দেশেই তৈরি হচ্ছে
/media/shamim/New Volume/content/nl/MP3/wav/4268659423.wav,92844,চাপ অনুভব করতো না
/media/shamim/New Volume/content/nl/MP3/wav/4bb0ff1b2a.wav,131244,ধর্মীয় সংখ্যালঘুদের ওপর
/media/shamim/New Volume/content/nl/MP3/wav/4a3481d53b.wav,147244,ঢাকা রেঞ্জের অতিরিক্ত ডিআইজি
/media/shamim/New Volume/content/nl/MP3/wav/47ed6c3e32.wav,102444,কো্নো কিছুকে বোঝায়
/media/shamim/New Volume/content/nl/MP3/wav/4d5d571f79.wav,70444,বিশ্বাসযোগ্য হতে হবে
/media/shamim/New Volume/content/nl/MP3/wav/45884a7304.wav,131244,বেগুনি চপ ছোলা
/media/shamim/New Volume/content/nl/MP3/wav/48f18b2afb.wav,105644,বাড়ির লোকজনকে জিম্মি করে
/media/shamim/New Volume/content/nl/MP3/wav/4dd911e5be.wav,134444,আমি ঘুমায়া পড়সি
/media/shamim/New Volume/content/nl/MP3/wav/4efa548363.wav,118444,ডেলি দেশের কথা
/media/shamim/New Volume/content/nl/MP3/wav/4da2180709.wav,89644,এক ধনী বেনে থাকে
/media/shamim/New Volume/content/nl/MP3/wav/45f4f4ad27.wav,118444,দেখতে ইচ্ছা করে না
/media/shamim/New Volume/content/nl/MP3/wav/4eb62b2e98.wav,105644,বেশির ভাগ মেয়েই
/media/shamim/New Volume/content/nl/MP3/wav/4c710b498b.wav,67244,আমি সহজে
/media/shamim/New Volume/content/nl/MP3/wav/4c3caa7f77.wav,137644,ঠিক বিশ্বাসযোগ্য লাগছিল না
/media/shamim/New Volume/content/nl/MP3/wav/4a2ce30af6.wav,102444,সনাতন ধর্মের পরিপূরক
/media/shamim/New Volume/content/nl/MP3/wav/4bf63fdefd.wav,160044,হিসাবরক্ষক খান মোহাম্মদ রুহুল আমিন
/media/shamim/New Volume/content/nl/MP3/wav/4ce7066817.wav,70444,ললিপপ
/media/shamim/New Volume/content/nl/MP3/wav/4b78194a1c.wav,67244,বিরোধিতা
/media/shamim/New Volume/content/nl/MP3/wav/47133729c1.wav,99244,সক্রিয় সদস্য শফিকুল ইসলাম
/media/shamim/New Volume/content/nl/MP3/wav/44f5c17714.wav,99244,মানুষের মনের আশা
/media/shamim/New Volume/content/nl/MP3/wav/41b997d2c3.wav,121644,নয় পয়েন্ট নিয়ে
/media/shamim/New Volume/content/nl/MP3/wav/4f9123e559.wav,70444,এটি হবে আমার
/media/shamim/New Volume/content/nl/MP3/wav/4d6d92002f.wav,92844,ম্যাচ শুরু হওয়ার আগে
/media/shamim/New Volume/content/nl/MP3/wav/4e61c3a05d.wav,169644,আমাদের প্রণয়ের সাক্ষী হলো অগ্নিপরীক্ষা
/media/shamim/New Volume/content/nl/MP3/wav/4bb85e21c8.wav,105644,সাক্ষীসহ মোট ৪তিন জনকে
/media/shamim/New Volume/content/nl/MP3/wav/4424c2dbcd.wav,115244,এ মামলা দায়ের থেকে
/media/shamim/New Volume/content/nl/MP3/wav/42e3c1efc6.wav,99244,টানানো রহিয়াছে
/media/shamim/New Volume/content/nl/MP3/wav/46f3c095f9.wav,118444,টিআইবি তাদের সমীক্ষা রিপোর্টে জানিয়েছিল
/media/shamim/New Volume/content/nl/MP3/wav/4a7b7370c3.wav,18460,দায়ী পরিবেশগত
/media/shamim/New Volume/content/nl/MP3/wav/4339c44326.wav,83244,মঙ্গল শোভাযাত্রা বের হয়েছে
/media/shamim/New Volume/content/nl/MP3/wav/4b7791a03f.wav,112044,দিনটি শুভ
/media/shamim/New Volume/content/nl/MP3/wav/4c79a9b42e.wav,99244,সামাজিক যোগাযোগের মাধ্যম হিসেবে
/media/shamim/New Volume/content/nl/MP3/wav/4d819c7b35.wav,115244,আ স্টাডি ইন স্কারলেট
/media/shamim/New Volume/content/nl/MP3/wav/4340d25817.wav,96044,ইতিমধ্যে এ সেবা
/media/shamim/New Volume/content/nl/MP3/wav/4438be5fd6.wav,89644,পদক জিততে পারিনি আমরা
/media/shamim/New Volume/content/nl/MP3/wav/4cb13f4b20.wav,105644,বিবিসি বাংলাকে বলেছেন
/media/shamim/New Volume/content/nl/MP3/wav/4423739548.wav,76844,রিপোর্টের ভিত্তিতে
/media/shamim/New Volume/content/nl/MP3/wav/4e6fc8ae97.wav,70444,লিখেও দিয়েছিলাম
/media/shamim/New Volume/content/nl/MP3/wav/4ba9012d26.wav,86444,লাশটি তার
/media/shamim/New Volume/content/nl/MP3/wav/4a3d878620.wav,75936,বাসটিতে আগুন ধরিয়ে দিলে
/media/shamim/New Volume/content/nl/MP3/wav/4e0b43e530.wav,115244,বিমানটি যোগাযোগ বিচ্ছিন্ন হওয়ার পর
/media/shamim/New Volume/content/nl/MP3/wav/49e5e40b4a.wav,86444,পুড়িয়ে দেয়া হয়েছে
/media/shamim/New Volume/content/nl/MP3/wav/4c75a0dadb.wav,70444,পরের বছর
/media/shamim/New Volume/content/nl/MP3/wav/428185d2e5.wav,128044,ভূমিকা রাখতে পারতো
/media/shamim/New Volume/content/nl/MP3/wav/4d48b62141.wav,73644,গুহার দেয়ালে
/media/shamim/New Volume/content/nl/MP3/wav/4a9134ec49.wav,96044,ফুটপাতেই বসে গেছি
/media/shamim/New Volume/content/nl/MP3/wav/44d0dcc741.wav,185644,ইউক্রেইনপন্থীরা তাদের দপ্তরে ঢুকে
/media/shamim/New Volume/content/nl/MP3/wav/4889ea63e5.wav,118444,এত নাচকাচ কেন
/media/shamim/New Volume/content/nl/MP3/wav/46c33e7fc2.wav,140844,অগ্নিঝরা মার্চে নিজেদের মাঠে
/media/shamim/New Volume/content/nl/MP3/wav/4a29fb95d1.wav,128044,হিপনোটিজম
/media/shamim/New Volume/content/nl/MP3/wav/45beb31312.wav,102444,পর্যটকদের স্বাগত জানাতে গিয়ে
/media/shamim/New Volume/content/nl/MP3/wav/4bd174bbe4.wav,73644,বুকের মধ্যে
/media/shamim/New Volume/content/nl/MP3/wav/4cacc95066.wav,112044,মেয়েরা বসেছেন একটু দূরে
/media/shamim/New Volume/content/nl/MP3/wav/444ea7daf7.wav,153644,যাহা আন্তর্জাতিক ডাক সংস্থা
/media/shamim/New Volume/content/nl/MP3/wav/4bab939cfb.wav,112044,বেইমানি না করার জন্য
/media/shamim/New Volume/content/nl/MP3/wav/476edf372e.wav,147244,আদৌ লভ্য নয়
/media/shamim/New Volume/content/nl/MP3/wav/430b19cf9e.wav,105644,ফেসবুকের স্বীকৃতিপ্রাপ্ত
/media/shamim/New Volume/content/nl/MP3/wav/42c5d489e0.wav,108844,ধর্মের প্রধান ভাগই
/media/shamim/New Volume/content/nl/MP3/wav/4218fd22d7.wav,144044,তবে বিভিন্ন সময়ে
/media/shamim/New Volume/content/nl/MP3/wav/49c7a291e4.wav,115244,ফাতেহা পাঠ ও আলোচনা সভা
/media/shamim/New Volume/content/nl/MP3/wav/4af4d70513.wav,108844,নূর মোহাম্মদ জানতে পারেন
/media/shamim/New Volume/content/nl/MP3/wav/4c59bb9c53.wav,92844,স্টেশনমাস্টার চলে গেল
/media/shamim/New Volume/content/nl/MP3/wav/4bc94ffee8.wav,86444,খারাপ ছেলেরা খুব সহজেই
/media/shamim/New Volume/content/nl/MP3/wav/46e1110cd4.wav,105644,তাই তিনি এক ৯৭চার সালে
/media/shamim/New Volume/content/nl/MP3/wav/41bf2f7290.wav,112044,রাতে জেট ক্যাপসুল থেকে
/media/shamim/New Volume/content/nl/MP3/wav/4f74857943.wav,128044,সেই আয়াতটি অর্থাৎ
/media/shamim/New Volume/content/nl/MP3/wav/4b4a0286cb.wav,83244,রাজনৈতিক অঙ্গনে ব্যাপক
/media/shamim/New Volume/content/nl/MP3/wav/4e77d56a3e.wav,112044,কৃষ্ণ ভ্রমে
/media/shamim/New Volume/content/nl/MP3/wav/4a01491025.wav,211244,সনি লিস্টনকে হারিয়ে দিলেন
/media/shamim/New Volume/content/nl/MP3/wav/4ea6cc57ff.wav,112044,তা সত্বেও গেমস সংক্রান্ত
/media/shamim/New Volume/content/nl/MP3/wav/46fd2dcc5b.wav,128044,নোকিয়া এন্ড্রয়েড
/media/shamim/New Volume/content/nl/MP3/wav/4abe393d80.wav,124844,কচুরিপানার শুকনো বৃন্ত দিয়ে
/media/shamim/New Volume/content/nl/MP3/wav/4b354696a9.wav,83244,বাকি যে অর্থ থাকবে
/media/shamim/New Volume/content/nl/MP3/wav/4e7dac97a2.wav,227244,চুল আলতোভাবে ঘষে ঘষে
/media/shamim/New Volume/content/nl/MP3/wav/4a6ffbc376.wav,70444,না ভাবুক
/media/shamim/New Volume/content/nl/MP3/wav/4d60f3793b.wav,89644,ধর্ষণ করে
/media/shamim/New Volume/content/nl/MP3/wav/4bdcbaa4aa.wav,118444,একটা হিন্দু মন্দির
/media/shamim/New Volume/content/nl/MP3/wav/4cb2093767.wav,121644,এদেশের শিক্ষা ব্যবস্থা
/media/shamim/New Volume/content/nl/MP3/wav/4b4adbccb2.wav,121644,এ ঘটনায় তার স্বামী
/media/shamim/New Volume/content/nl/MP3/wav/4eb7b27bbf.wav,102444,কর্তৃক নিজ সন্তানের
/media/shamim/New Volume/content/nl/MP3/wav/42f8bee76b.wav,86444,চোখেও দেখে নি
/media/shamim/New Volume/content/nl/MP3/wav/45cb177fa9.wav,89644,দেশীয় চলচ্চিত্রের ক্ষেত্রে
/media/shamim/New Volume/content/nl/MP3/wav/4773287769.wav,76844,জিডি করেন
/media/shamim/New Volume/content/nl/MP3/wav/4d01f7c93f.wav,105644,রাস্তাটি ছিল
/media/shamim/New Volume/content/nl/MP3/wav/4d073a27ac.wav,99244,একটা সময় গান দিয়ে
/media/shamim/New Volume/content/nl/MP3/wav/449ebc681c.wav,99244,একটি তিনতলা ভবনে
/media/shamim/New Volume/content/nl/MP3/wav/49ce52ecce.wav,240044,বৃহস্পতিবার মাঝরাত থেকে মিরপুর ও কাফরুল এলাকায় অভিযান চালিয়ে বেশ কিছু লোককে গ্রেফতার করা হয়।
/media/shamim/New Volume/content/nl/MP3/wav/485f4d3d8a.wav,96044,বেরিয়ে যায় ঘর থেকে
/media/shamim/New Volume/content/nl/MP3/wav/42a36536cf.wav,137644,তবে মার্কিন যুক্তরাষ্ট্র
/media/shamim/New Volume/content/nl/MP3/wav/417674990c.wav,137644,এদেরকে বলে রেডিও আইসোটোপ
/media/shamim/New Volume/content/nl/MP3/wav/4f3bd7ee2a.wav,25696,তালিবাবাদ ভূ উপগ্রহ কেন্দ্রসংলগ্ন
/media/shamim/New Volume/content/nl/MP3/wav/450ef0a6a2.wav,288044,আমন্ত্রণ জানিয়ে
/media/shamim/New Volume/content/nl/MP3/wav/4b6b7772f8.wav,108844,পছন্দসই পতিতাদের
/media/shamim/New Volume/content/nl/MP3/wav/4b69aba481.wav,134444,প্রথম পর্বে তিন দুই ব্যবধানে
/media/shamim/New Volume/content/nl/MP3/wav/4c0e2d15b8.wav,105644,আগামী ছয় মাস
/media/shamim/New Volume/content/nl/MP3/wav/46616fb82e.wav,86444,করতোয়া
/media/shamim/New Volume/content/nl/MP3/wav/4502399d2d.wav,92844,ব্যাট করার সময়
/media/shamim/New Volume/content/nl/MP3/wav/41268aff08.wav,160044,বিএসএফের তিন রক্ষীর বিরুদ্ধে
/media/shamim/New Volume/content/nl/MP3/wav/47e24a4fce.wav,256044,লেখকেরা পরিবেশন করেছেন
/media/shamim/New Volume/content/nl/MP3/wav/47f5cd88a0.wav,108844,স্থানীয় থানা পুলিশের কাছে
/media/shamim/New Volume/content/nl/MP3/wav/47d8a4f2f2.wav,71522,বাজার থেকে
/media/shamim/New Volume/content/nl/MP3/wav/4df9a65bf7.wav,67244,সে সীমান্তে গড়ে তুলেছেন
/media/shamim/New Volume/content/nl/MP3/wav/421af4f2b9.wav,73644,নতুন একটি খাল খননের
/media/shamim/New Volume/content/nl/MP3/wav/4ceebaafc5.wav,105644,অস্ট্রেলিয়ার মহিলা ক্রিকেট দল
/media/shamim/New Volume/content/nl/MP3/wav/4ce78d2836.wav,105644,প্রতিদিন লক্ষ লক্ষ টন
/media/shamim/New Volume/content/nl/MP3/wav/41218b5ad8.wav,102444,হিন্দু মহাসভার
/media/shamim/New Volume/content/nl/MP3/wav/47c9aa73a9.wav,131244,মুক্তিপণ দাবি করা হয়েছে বলে
/media/shamim/New Volume/content/nl/MP3/wav/4f2e94b091.wav,89644,গতকাল আসতে দেখা গেল
/media/shamim/New Volume/content/nl/MP3/wav/415073fc26.wav,96044,নিজেরা টিকিট বিক্রি করছি
/media/shamim/New Volume/content/nl/MP3/wav/446447790f.wav,147244,আর এক ঘন্টা চলা
/media/shamim/New Volume/content/nl/MP3/wav/423ec943d6.wav,86444,তাদের বুকে
/media/shamim/New Volume/content/nl/MP3/wav/4ba281b102.wav,156844,কোরি এণ্ডারসনকে
/media/shamim/New Volume/content/nl/MP3/wav/4f92aee322.wav,140844,ইজিবাইক উল্টে
/media/shamim/New Volume/content/nl/MP3/wav/4af9f87161.wav,99244,দলের সমর্থকরা
/media/shamim/New Volume/content/nl/MP3/wav/4276b49d22.wav,29089,এই সার্ভিস ক্যাম্পগুলো
/media/shamim/New Volume/content/nl/MP3/wav/4260f35d6d.wav,96044,ভিক্ষা করিলেই হইল
/media/shamim/New Volume/content/nl/MP3/wav/4a624167f7.wav,128044,নারীদের সমন্বয়ে
/media/shamim/New Volume/content/nl/MP3/wav/4d641a4688.wav,870000,অনুষ্ঠানের মাঝামাঝি নাগাদ
/media/shamim/New Volume/content/nl/MP3/wav/4612465bcf.wav,192044,যা পারেননি
/media/shamim/New Volume/content/nl/MP3/wav/4b519a3f4a.wav,61820,করে থাকে
/media/shamim/New Volume/content/nl/MP3/wav/45eae9f782.wav,108844,নিজেই আঁকতেন
/media/shamim/New Volume/content/nl/MP3/wav/48a7bbe3d1.wav,73644,আগ্রহ তৈরি করবে
/media/shamim/New Volume/content/nl/MP3/wav/468b19b542.wav,108844,এম উমর ফারুক
/media/shamim/New Volume/content/nl/MP3/wav/47acafeda3.wav,147244,ডাকসুর সহ সভাপতি ছিলেন
/media/shamim/New Volume/content/nl/MP3/wav/47336b12be.wav,105644,তবে আটকের পর রিজভী
/media/shamim/New Volume/content/nl/MP3/wav/4ea16a3e1d.wav,102444,তৃতীয় স্থান অধিকার করেছে
/media/shamim/New Volume/content/nl/MP3/wav/4a6748542e.wav,112044,কি ধর্ষক-নিপীড়ক নেই?
/media/shamim/New Volume/content/nl/MP3/wav/4ef65f5b70.wav,112044,জানালেন পরিস্থিতির কারণেই
/media/shamim/New Volume/content/nl/MP3/wav/4a2ac8f1fb.wav,99244,আন্দোলন চালিয়ে যেতে হবে
/media/shamim/New Volume/content/nl/MP3/wav/4fe51905c2.wav,73644,লোহার বালা
/media/shamim/New Volume/content/nl/MP3/wav/4e62a90938.wav,105644,লাইফ অ্যান্ড স্টাইল ম্যাগাজিন
/media/shamim/New Volume/content/nl/MP3/wav/49ca0dd95e.wav,115244,রাজধানীর আজিমপুর
/media/shamim/New Volume/content/nl/MP3/wav/4be9a2a1b0.wav,12702,দিপিকা পাডুকোন
/media/shamim/New Volume/content/nl/MP3/wav/480d893c7b.wav,86444,সাত কর্মদিবসের মধ্যে
/media/shamim/New Volume/content/nl/MP3/wav/46ba5fc10d.wav,92844,বাংলাভাষী মুসলমানদের
/media/shamim/New Volume/content/nl/MP3/wav/47f61f9d2f.wav,150444,সোনারগাঁওয়ে আইনজীবী চন্দন সরকারের
/media/shamim/New Volume/content/nl/MP3/wav/4ee1b05d55.wav,80044,বৈশাখি মেলা চলাকালীন সময়ে
/media/shamim/New Volume/content/nl/MP3/wav/4e1e947e84.wav,144044,এই সরকারের মেয়াদের
/media/shamim/New Volume/content/nl/MP3/wav/4786d60f79.wav,99244,প্রকাশের পর থেকে
/media/shamim/New Volume/content/nl/MP3/wav/45e8695749.wav,160044,পাঁচকড়ি দে এক ৮৭তিন খৃষ্টাব্দে
/media/shamim/New Volume/content/nl/MP3/wav/4d2763ce71.wav,144044,সাম্প্রদায়িক সম্প্রীতিকে তারা
/media/shamim/New Volume/content/nl/MP3/wav/4c94f335ce.wav,80044,এসব চা বাগানগুলোতে
/media/shamim/New Volume/content/nl/MP3/wav/4f8a7eb164.wav,86444,বড় মূল্য দিতে হয়েছিল
/media/shamim/New Volume/content/nl/MP3/wav/4e97b76204.wav,128044,এক ৯এক আট সালের পুরোনো
/media/shamim/New Volume/content/nl/MP3/wav/4b19164e77.wav,89644,বড়দের প্রতি নন
/media/shamim/New Volume/content/nl/MP3/wav/444688d3a2.wav,118444,হত্যা ও বিস্ফোরক আইনে
/media/shamim/New Volume/content/nl/MP3/wav/4c8b635827.wav,128044,ফেটানো ডিম এক টি
/media/shamim/New Volume/content/nl/MP3/wav/4f5fc9724e.wav,86444,কবে প্রণীত হয়
/media/shamim/New Volume/content/nl/MP3/wav/44aa1af260.wav,92844,গুলি ছুড়তে থাকে
/media/shamim/New Volume/content/nl/MP3/wav/4218155172.wav,140844,নন্দিনী ছুটে গিয়েছে দীপুর কাছে
/media/shamim/New Volume/content/nl/MP3/wav/4e8043e4df.wav,134444,বর্তমানে স্থানীয় হাটবাজারে
/media/shamim/New Volume/content/nl/MP3/wav/4b59e11bb7.wav,13444,অপভ্রংশ শব্দটির
/media/shamim/New Volume/content/nl/MP3/wav/4cdaca66e5.wav,105644,অবশ্য পাওয়া গেল
/media/shamim/New Volume/content/nl/MP3/wav/4d1cd56db4.wav,99244,তিনি জনপ্রিয় হয়ে উঠেন
/media/shamim/New Volume/content/nl/MP3/wav/4ed14080b5.wav,108844,না পারলে নিজেই
/media/shamim/New Volume/content/nl/MP3/wav/4af828fc9a.wav,89644,যখন সকল জন
/media/shamim/New Volume/content/nl/MP3/wav/4d00a1e9af.wav,140844,পবিত্র মাহাতো আনুষ্ঠানিকভাবে
/media/shamim/New Volume/content/nl/MP3/wav/4b73e87b6f.wav,137644,অবস্থানের সামনে থাকা জ্যেষ্ঠ কর্মকর্তারা
/media/shamim/New Volume/content/nl/MP3/wav/476184daa7.wav,128044,দুপুরের খাবার
/media/shamim/New Volume/content/nl/MP3/wav/4c9d44223f.wav,115244,একদিন ছুটির সকালে
/media/shamim/New Volume/content/nl/MP3/wav/4e09a3c2b5.wav,147244,রক্তজবাকেও খুনজবা বলা
/media/shamim/New Volume/content/nl/MP3/wav/48b8ec5318.wav,80044,খুবই সহায়ক হবে
/media/shamim/New Volume/content/nl/MP3/wav/46b21edb2d.wav,115244,তারপর ঘটাং শব্দ হলো
/media/shamim/New Volume/content/nl/MP3/wav/4b4fd75927.wav,355244,মালিকপক্ষের সহযোগিতা থাকলে শ্রমিকেরা সুসংগঠিত হয়ে ট্রেড ইউনিয়ন গঠন করতে পারবে।
/media/shamim/New Volume/content/nl/MP3/wav/4715dd4946.wav,96044,তিন দিন আগের কেনা
/media/shamim/New Volume/content/nl/MP3/wav/4e329b2019.wav,108844,এত বিভিন্ন যে
/media/shamim/New Volume/content/nl/MP3/wav/488e881820.wav,297644,গত শনিবার পটুয়াখালীতে যাত্রীবাহী একটি লঞ্চ ডুবে দশজনেরও বেশি মানুষ নিহত হয়েছেন।
/media/shamim/New Volume/content/nl/MP3/wav/4f211036e2.wav,70444,উদ্ভাস
/media/shamim/New Volume/content/nl/MP3/wav/40fd3a1333.wav,92844,ভালো
/media/shamim/New Volume/content/nl/MP3/wav/4b969462c6.wav,115244,দুই প্লাটুন বিজিবি
/media/shamim/New Volume/content/nl/MP3/wav/42acec636a.wav,73644,আজ সন্ধ্যায়
/media/shamim/New Volume/content/nl/MP3/wav/4faabd542c.wav,80044,বাবুর নিকট হইতে
/media/shamim/New Volume/content/nl/MP3/wav/41865d1710.wav,131244,মেজবা।
/media/shamim/New Volume/content/nl/MP3/wav/4840cfaccd.wav,128044,এক ৮৯নয় সাল পর্যন্ত
/media/shamim/New Volume/content/nl/MP3/wav/4cd7cf663c.wav,172844,তারপর এলিসের দিকে ফিরে
/media/shamim/New Volume/content/nl/MP3/wav/4186d118d9.wav,86444,আশিয়ান সিটির
/media/shamim/New Volume/content/nl/MP3/wav/46ea875fbb.wav,99244,টসে জিতে বাংলাদেশ নেপালকে
/media/shamim/New Volume/content/nl/MP3/wav/4c06a17b0a.wav,291244,তিনি বলেন রামপাল বিদ্যুৎ কেন্দ্র নিয়ে অনেকে এমন মতামত দিয়েছেন যেটা তার ধারণার সঙ্গে মেলে না।
/media/shamim/New Volume/content/nl/MP3/wav/4cc4da1b59.wav,233644,ইংল্যান্ড আক্রমণাত্মক ব্যাটিং করে ছয়  উইকেটে এক ৭দুই রান করে।
/media/shamim/New Volume/content/nl/MP3/wav/485f17952f.wav,83244,কোন কেন্দ্র থেকেই
/media/shamim/New Volume/content/nl/MP3/wav/45b3a34836.wav,105644,তাদের প্রথম চাওয়া
/media/shamim/New Volume/content/nl/MP3/wav/453af3373b.wav,131244,ঢাকার বাসগুলির সেবার মান
/media/shamim/New Volume/content/nl/MP3/wav/4efaad53e6.wav,108844,ঈদের কেনাকাটার
/media/shamim/New Volume/content/nl/MP3/wav/4b6448b43d.wav,76844,অনেক সদস্য
/media/shamim/New Volume/content/nl/MP3/wav/417727a8c6.wav,76844,লিখতে পারেন
/media/shamim/New Volume/content/nl/MP3/wav/4be02912f7.wav,134444,পলাতক মাহমুদা আক্তার
/media/shamim/New Volume/content/nl/MP3/wav/430d36129c.wav,172844,তিনি ডোমেস্টিক ভায়োলেন্সের ওপর
/media/shamim/New Volume/content/nl/MP3/wav/45dd99fe24.wav,134444,আমাদের ওয়েবপোর্টাল দেখার জন্য
/media/shamim/New Volume/content/nl/MP3/wav/4ca3229876.wav,92844,গোলাপ ফুলের ছবি
/media/shamim/New Volume/content/nl/MP3/wav/4eefcff587.wav,89644,ট্রেনের সময়
/media/shamim/New Volume/content/nl/MP3/wav/4d37726be6.wav,118444,প্রধান ভূমিকা
/media/shamim/New Volume/content/nl/MP3/wav/4a89041a09.wav,76844,নির্মাণ করে গেছেন
/media/shamim/New Volume/content/nl/MP3/wav/45df67b90f.wav,96044,মন্ত্রী ইউসুফ আলী
/media/shamim/New Volume/content/nl/MP3/wav/4e092d3064.wav,156844,কার্তিকের এই মায়াবী বিকেলে
/media/shamim/New Volume/content/nl/MP3/wav/4fbdb11c14.wav,137644,জীবন ধারণ করা
/media/shamim/New Volume/content/nl/MP3/wav/46de827491.wav,96044,রাখা হয়েছিল
/media/shamim/New Volume/content/nl/MP3/wav/49e18622f7.wav,108844,সময় শেষ হয়ে যায়নি
/media/shamim/New Volume/content/nl/MP3/wav/45e74164f7.wav,131244,ডাসা নিয়ে আসেন
/media/shamim/New Volume/content/nl/MP3/wav/4322eb8257.wav,89644,নিউইয়র্ক ভিত্তিক
/media/shamim/New Volume/content/nl/MP3/wav/44cc2978b8.wav,108844,আজ গণভোট হচ্ছে
/media/shamim/New Volume/content/nl/MP3/wav/4ad9f1a6ba.wav,105644,এক ৫০০ টাকার মধ্যে
/media/shamim/New Volume/content/nl/MP3/wav/4f82f7c4ca.wav,73644,জীবন থেকে
/media/shamim/New Volume/content/nl/MP3/wav/4a380b3d66.wav,121644,তারে তারে বা পত্রে পত্রে
/media/shamim/New Volume/content/nl/MP3/wav/4b24add058.wav,118444,জাতিসংঘের কয়েকটি সদস্য দেশের প্রতিনিধি
/media/shamim/New Volume/content/nl/MP3/wav/48bd2d4dcb.wav,89644,নিবন্ধ ছাপা হয়েছে
/media/shamim/New Volume/content/nl/MP3/wav/424e898994.wav,18460,অপূর্ব সুষমামণ্ডিত চিত্রধারার অঙ্গনটি
/media/shamim/New Volume/content/nl/MP3/wav/4c6631d8c4.wav,114688,অভিযোগ উঠেছিল
/media/shamim/New Volume/content/nl/MP3/wav/4c5550776d.wav,76844,নতুন সরকার আসার পর
/media/shamim/New Volume/content/nl/MP3/wav/4751ffd803.wav,128044,সেকেন্ড পার্ট
/media/shamim/New Volume/content/nl/MP3/wav/4e5e4c42b0.wav,124844,শ্ক্ষিার পরিবেশ বিঘ্নিত করে
/media/shamim/New Volume/content/nl/MP3/wav/4f27c82412.wav,124844,বিস্ফোরিত বোমার শব্দে
/media/shamim/New Volume/content/nl/MP3/wav/49126ce00c.wav,147244,কর্তাব্যক্তিদের ওপর
/media/shamim/New Volume/content/nl/MP3/wav/42f470d1db.wav,83244,ক্রয় নীতিতে
/media/shamim/New Volume/content/nl/MP3/wav/4a925dd338.wav,112044,বিজ্ঞানীদের হিসেব মতো
/media/shamim/New Volume/content/nl/MP3/wav/41fbe3d47f.wav,73644,দা সাইন ওব ফোর
/media/shamim/New Volume/content/nl/MP3/wav/41840ec4db.wav,67244,অটো লাইক
/media/shamim/New Volume/content/nl/MP3/wav/4e90648816.wav,131244,চেমনে দুখতারিতে
/media/shamim/New Volume/content/nl/MP3/wav/4e55ad80e9.wav,131244,আংটি খুঁজে পাননি তিনি
/media/shamim/New Volume/content/nl/MP3/wav/4bf983f224.wav,112044,সর্বোচ্চ ৪০ হাজার টাকা
/media/shamim/New Volume/content/nl/MP3/wav/4c66836bad.wav,70444,শুভ সন্ধ্যা
/media/shamim/New Volume/content/nl/MP3/wav/4b18d34b0f.wav,105644,মুক্তিযুদ্ধের একটি অনন্য স্মারক
/media/shamim/New Volume/content/nl/MP3/wav/41ec71964a.wav,48044,আর কাউকে
/media/shamim/New Volume/content/nl/MP3/wav/47203ac25b.wav,128044,বাস মানচিত্রটি ফেসবুক
/media/shamim/New Volume/content/nl/MP3/wav/47302e8a9c.wav,208044,বরিশাল পলিটেকনিক ইনস্টিটিউটের
/media/shamim/New Volume/content/nl/MP3/wav/45fdd0edd7.wav,99244,সহজ পর্যবেক্ষণে কী ভাবে
/media/shamim/New Volume/content/nl/MP3/wav/4e8f3d8798.wav,89644,মালিক শ্রমিক
/media/shamim/New Volume/content/nl/MP3/wav/4f06a76dd6.wav,83244,তিনি সর্বমহলে
/media/shamim/New Volume/content/nl/MP3/wav/4afd07c5f8.wav,73644,আন্দোলন করতে পারিনা
/media/shamim/New Volume/content/nl/MP3/wav/473f27ca5d.wav,118444,মুক্ত ইলেকট্রন বলে
/media/shamim/New Volume/content/nl/MP3/wav/47524f40ab.wav,64044,কর্মচারী হিসেবে
/media/shamim/New Volume/content/nl/MP3/wav/40fb289144.wav,99244,শিহরণ জাগে
